"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"659","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Mollicutes_RF39",0.0349,0.3876
"660","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetales",0.0773,0.3867
"661","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Verrucomicrobiales",0.0193,0.3855
"662","X9P306R4D4","D4","P306","INFnm","Fecal or Fecal swab","D4_INFnm","Coriobacteriales",0.0231,0.3849
"663","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Mollicutes_RF39",0.0192,0.3849
"664","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Campylobacterales",0.0762,0.3808
"665","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Spirochaetales",0.0379,0.3793
"666","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0641,0.377
"667","X9P255R1D7","D7","P255","NONINFnm","Fecal","D7_NONINFnm","Spirochaetales",0.03,0.3756
"668","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0739,0.3695
"669","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.062,0.3645
"670","X9P313R4Dm3","DNEG3","P313","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.0617,0.3631
"671","X9P285R2D7","D7","P285","INFfeed","Fecal","D7_INFfeed","Spirochaetales",0.0362,0.3618
"672","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0469,0.3609
"673","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.0612,0.3602
"674","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.0648,0.3601
"675","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0323,0.359
"676","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Lactobacillales",0.0355,0.3555
"677","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Lactobacillales",0.0603,0.3546
"678","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Spirochaetales",0.0248,0.3541
"679","X9P265R1Dm3","DNEG3","P265","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0634,0.3523
"680","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Enterobacteriales",0.0246,0.3519
"681","X9P284R2Dm3","DNEG3","P284","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetales",0.0702,0.3511
"682","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Campylobacterales",0.0595,0.3498
"683","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.0346,0.3462
"684","X9P279R2Dm3","DNEG3","P279","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0689,0.3444
"685","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.034,0.3395
"686","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Coriobacteriales",0.027,0.3378
"687","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Mollicutes_RF39",0.0201,0.3344
"688","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0333,0.3328
"689","X9P302R3D0","D0","P302","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0432,0.3326
"690","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0332,0.3323
"691","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Lactobacillales",0.0332,0.332
"692","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Mollicutes_RF39",0.0331,0.3313
"693","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Bifidobacteriales",0.0331,0.331
"694","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Erysipelotrichales",0.0232,0.3309
"695","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Verrucomicrobiales",0.0562,0.3308
"696","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0263,0.3282
"697","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Coriobacteriales",0.0131,0.3272
"698","X9P286R3Dm3","DNEG3","P286","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0555,0.3265
"699","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0586,0.3255
"700","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0552,0.3245
"701","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0581,0.3227
"702","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0544,0.3202
"703","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Mollicutes_RF39",0.0223,0.3192
"704","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Erysipelotrichales",0.0223,0.3187
"705","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Erysipelotrichales",0.0634,0.3171
"706","X9P257R1Dm3","DNEG3","P257","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0564,0.3132
"707","X9P284R2Dm3","DNEG3","P284","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0625,0.3125
"708","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Spirochaetales",0.0308,0.3084
"709","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Lactobacillales",0.0216,0.3082
"710","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Enterobacteriales",0.0516,0.3036
"711","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0386,0.2965
"712","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Aeromonadales",0.0532,0.2956
